"yr.eduexp","lifexp","GNI","matermor","adobirth","repreparl"
"Norway",17.5,81.6,64992,4,7.8,39.6
"Australia",20.2,82.4,42261,6,12.1,30.5
"Switzerland",15.8,83,56431,6,1.9,28.5
"Denmark",18.7,80.2,44025,5,5.1,38
"Netherlands",17.9,81.6,45435,6,6.2,36.9
"Germany",16.5,80.9,43919,7,3.8,36.9
"Ireland",18.6,80.9,39568,9,8.2,19.9
"United States",16.5,79.1,52947,28,31,19.4
"Canada",15.9,82,42155,11,14.5,28.2
"New Zealand",19.2,81.8,32689,8,25.3,31.4
"Singapore",15.4,83,76628,6,6,25.3
"Sweden",15.8,82.2,45636,4,6.5,43.6
"United Kingdom",16.2,80.7,39267,8,25.8,23.5
"Iceland",19,82.6,35182,4,11.5,41.3
"Korea (Republic of)",16.9,81.9,33890,27,2.2,16.3
"Israel",16,82.4,30676,2,7.8,22.5
"Luxembourg",13.9,81.7,58711,11,8.3,28.3
"Japan",15.3,83.5,36927,6,5.4,11.6
"Belgium",16.3,80.8,41187,6,6.7,42.4
"France",16,82.2,38056,12,5.7,25.7
"Austria",15.7,81.4,43869,4,4.1,30.3
"Finland",17.1,80.8,38695,4,9.2,42.5
"Slovenia",16.8,80.4,27852,7,0.6,27.7
"Spain",17.3,82.6,32045,4,10.6,38
"Italy",16,83.1,33030,4,4,30.1
"Czech Republic",16.4,78.6,26660,5,4.9,18.9
"Greece",17.6,80.9,24524,5,11.9,21
"Estonia",16.5,76.8,25214,11,16.8,19.8
"Cyprus",14,80.2,28633,10,5.5,12.5
"Qatar",13.8,78.2,123124,6,9.5,0
"Slovakia",15.1,76.3,25845,7,15.9,18.7
"Poland",15.5,77.4,23177,3,12.2,22.1
"Lithuania",16.4,73.3,24500,11,10.6,23.4
"Malta",14.4,80.6,27930,9,18.2,13
"Saudi Arabia",16.3,74.3,52821,16,10.2,19.9
"Argentina",17.9,76.3,22050,69,54.4,36.8
"United Arab Emirates",13.3,77,60868,8,27.6,17.5
"Chile",15.2,81.7,21290,22,55.3,15.8
"Portugal",16.3,80.9,25757,8,12.6,31.3
"Hungary",15.4,75.2,22916,14,12.1,10.1
"Bahrain",14.4,76.6,38599,22,13.8,15
"Latvia",15.2,74.2,22281,13,13.5,18
"Croatia",14.8,77.3,19409,13,12.7,25.8
"Kuwait",14.7,74.4,83961,14,14.5,1.5
"Montenegro",15.2,76.2,14558,7,15.2,17.3
"Belarus",15.7,71.3,16676,1,20.6,30.1
"Russian Federation",14.7,70.1,22352,24,25.7,14.5
"Oman",13.6,76.8,34858,11,10.6,9.6
"Romania",14.2,74.7,18108,33,31,12
"Uruguay",15.5,77.2,19283,14,58.3,11.5
"Bahamas",12.6,75.4,21336,37,28.5,16.7
"Kazakhstan",15,69.4,20867,26,29.9,20.1
"Barbados",15.4,75.6,12488,52,48.4,19.6
"Bulgaria",14.4,74.2,15596,5,35.9,20.4
"Panama",13.3,77.6,18192,85,78.5,19.3
"Malaysia",12.7,74.7,22762,29,5.7,14.2
"Mauritius",15.6,74.4,17470,73,30.9,11.6
"Trinidad and Tobago",12.3,70.4,26090,84,34.8,24.7
"Serbia",14.4,74.9,12190,16,16.9,34
"Cuba",13.8,79.4,7301,80,43.1,48.9
"Lebanon",13.8,79.3,16509,16,12,3.1
